BBOalert
Option
,1C,See chat message#16+; any distribution except 16-23 with 4441 distribution
1C--1D--1H--1S--1N--2H--3C--,3S,Sign Off; No game interest
1C--1D--1H--1S--1N--2H--3C--,3N,BETA Asking for General Level of Control
1C--1D--1H--1S--1N--2H--3C--,4C,Cue-bid for !S; also Aces of !D and of !H
1C--1D--1H--1S--1N--2H--3C--,4S,Sign off
1C--1D--1H--1S--1N--2H--3C--3N--,4C,0-2 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2H--3C--3N--,4D,3 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2H--3C--3N--,4H,4 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2H--3C--3N--,4S,5 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2H--3C--3N--,4N,6 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2H--3C--3N--,5C,7 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2H--3D--,3H,Cue-bid for !S
1C--1D--1H--1S--1N--2H--3D--,3S,To Play; with no Game interest
1C--1D--1H--1S--1N--2H--3D--,3N,BETA Asking for General Level of Control
1C--1D--1H--1S--1N--2H--3D--,4C,Cue- bid for !S; denies A of !H
1C--1D--1H--1S--1N--2H--3D--,4D,Cue-bid for !S; also A of !H and of !C
1C--1D--1H--1S--1N--2H--3D--,4H,Invitational 
1C--1D--1H--1S--1N--2H--3D--,4S,Sign off
1C--1D--1H--1S--1N--2H--3D--3N--,4C,0-2 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2H--3D--3N--,4D,3 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2H--3D--3N--,4H,4 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2H--3D--3N--,4S,5 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2H--3D--3N--,4N,6 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2H--3D--3N--,5C,7 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2H--3H--,3S,To Play; with no Game interest
1C--1D--1H--1S--1N--2H--3H--,3N,BETA Asking for General Level of Control
1C--1D--1H--1S--1N--2H--3H--,4C,Cue-bid for !S
1C--1D--1H--1S--1N--2H--3H--,4D,Cue Bid for !S; denies a !C Control
1C--1D--1H--1S--1N--2H--3H--,4H,Cue Bid for !S; Also promising the two Minor Suit Aces
1C--1D--1H--1S--1N--2H--3H--,4S,To Play
1C--1D--1H--1S--1N--2H--3H--3N--,4C,0-2 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2H--3H--3N--,4D,3 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2H--3H--3N--,4H,4 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2H--3H--3N--,4S,5 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2H--3H--3N--,4N,6 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2H--3H--3N--,5C,7 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2S--,2N,Break the Transfer; 3+ cards in !C; Max. Range
1C--1D--1H--1S--1N--2S--,3C,Accepts Transfer
1C--1D--1H--1S--1N--2S--2N--,3C,Sign Off
1C--1D--1H--1S--1N--2S--2N--,3D,Second Suit
1C--1D--1H--1S--1N--2S--2N--,3H,Second Suit
1C--1D--1H--1S--1N--2S--2N--,3S,Second Suit
1C--1D--1H--1S--1N--2S--2N--,3N,To Play
1C--1D--1H--1S--1N--2S--2N--,4C,General Slam invitation in !C; inviting Cue-bids
1C--1D--1H--1S--1N--2S--2N--,4D,BETA Asking for General Level of Control
1C--1D--1H--1S--1N--2S--2N--,4H,Invitational 
1C--1D--1H--1S--1N--2S--2N--,4S,Invitational 
1C--1D--1H--1S--1N--2S--2N--4D--,4H,0-2 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2S--2N--4D--,4S,3 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2S--2N--4D--,4N,3 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2S--2N--4D--,5C,4 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2S--2N--4D--,5D,5 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2S--2N--4D--,5H,6 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2S--2N--4D--,5S,7 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2S--3C--,3D,Suit/Stop in !D; implies a weakness in at least one Major
1C--1D--1H--1S--1N--2S--3C--,3H,Second Suit or occasionally a good 3-card stop with a !D shortage
1C--1D--1H--1S--1N--2S--3C--,3S,Second Suit
1C--1D--1H--1S--1N--2S--3C--,3N,To Play; a mild Slam invitation in !C
1C--1D--1H--1S--1N--2S--3C--,4C,inv in !C; very unbal. but with no second suit
1C--1D--1H--1S--1N--2S--3C--,4D,BETA Asking for General Level of Control. Sets !C as Trumps
