BBOalert
1.,7},Please read chat#ra 1.7 - based on Garozzo's system for Italian Junior team and a little modification\\[Defensive bidding]\\-jump overcall 10-13 HCP; 6+ cards\\-normal overcall 0-16 HCP if very weak then 6+ cards & preemptive\\-take-out double 13-16 HCP and 3+ cards other suits OR 17+ HCP; any shape\\-Michael's + UNT\\-beware of prebalance t/o doubles and suit bids (10+ HCP)
1CDb1D--2D--,3C,5+!d-4!c 9-11
1CDb1D--2D--,3D,
1CDb1D--2D--,3H,Please read chat#splinter for !d; 4+!d; GF but not serious slam interest
1CDb1D--2D--,3S,Please read chat#splinter for !d; 4+!d; GF but not serious slam interest
1CDb1D--2D--,4D,
1CDb1D--2D--,5D,may be weak or strong
1CDb1D--,2H,Please read chat#ambiguous reverse:  17+ HCP either                                     a) 5+!c-4!h                              b) 5+!c-4!d                                c) 6+!c 1-suiter
1CDb1D--2H--,2N,6+!d GF
1CDb1D--2H--,2S,GF relay
1CDb1D--2H--2S--,2N,5+!c-4!h; denies 4!s
1CDb1D--2H--2S--2N--,3C,asks shape; GAR relay
1CDb1D--2H--2S--2N--3C--,3D,5!c-4!h
1CDb1D--2H--2S--2N--3C--3D--,3H,asks shape; denies !h interest
1CDb1D--2H--2S--2N--3C--3D--3H--,3N,short !s
1CDb1D--2H--2S--2N--3C--3D--3H--,3S,5-4-2-2
1CDb1D--2H--2S--2N--3C--3D--3H--,4C,short !d
1CDb1D--2H--2S--2N--3C--3D--,3S,asks shape; sets !h
1CDb1D--2H--2S--2N--3C--3D--3S--,3N,5-4-2-2-
1CDb1D--2H--2S--2N--3C--3D--3S--,4C,short !s
1CDb1D--2H--2S--2N--3C--3D--3S--,4D,short !d
1CDb1D--2H--2S--2N--3C--,3H,6+!c-4!h
1CDb1D--2H--2S--2N--3C--3H--,3S,asks shape; denies !h interest
1CDb1D--2H--2S--2N--3C--3H--3S--,3N,short !s
1CDb1D--2H--2S--2N--3C--3H--3S--,4C,short !d
1CDb1D--2H--2S--2N--3C--3H--,4C,asks shape; sets !h
1CDb1D--2H--2S--2N--3C--3H--4C--,4D,short !s
